"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"Germany","Telefónica Germany GmbH & Co. OHG","DEUE2","26207","TMHR EU regulated","Live","2016-04-12","Live","2022-06-21"
"Germany","Telekom Deutschland GmbH","DEUD1","26201","TMHR EU regulated","Live","2015-04-02","Live","2021-06-17"
"Germany","Vodafone Germany","DEUD2","26202","TMHR EU regulated","Live","2021-05-26","N/A",
"Ghana","Telecel Ghana","GHAGT","62002",,"Live","2025-07-30","N/A",
"Greece","COSMOTE Telekom","GRCCO","20201","TMHR EU regulated","Live","2015-08-31","Live","2021-07-29"
"Greece","NOVA","GRCSH","20210","TMHR EU regulated","Live","2016-09-28","Live","2022-05-24"
"Greece","Vodafone Greece","GRCPF","20205","TMHR EU regulated","Live","2021-10-27","N/A",
"Greenland","Tusass","GRLTG","29001",,"Live","2020-08-28","N/A",
"Guadeloupe","Dauphin Télécom","GLPDT","34008","HRVCN_HUB, TMHR EU regulated","Live","2024-01-04","N/A",
"Guadeloupe","Digicel Antilles Française Guyane","FRAF4","34020","TMHR EU regulated","Live","2025-01-13","N/A",
"Guatemala","Telecomunicaciones de Guatemala S.A.","GTMSC","70401",,"Live","2024-01-08","N/A",
"Guatemala","Tigo Guatemala","GTMCM","70402","HRVCN_HUB","Live","2023-03-22","Live","2023-11-16"
"Hong Kong, SAR China","Hong Kong Telecommunications (HKT) Limited","HKGTC","45400",,"Live","2015-12-07","Live","2023-10-10"
"Hong Kong, SAR China","Hutchison Telecommunications Hong Kong Holdings Limited","HKGH3","45403",,"Live","2019-05-21","Live","2023-06-06"
"Hong Kong, SAR China","SmarTone Mobile Communications Limited","HKGSM","45406",,"Live","2024-04-05","Live","2024-04-05"
"Hungary","Magyar Telekom Nyrt.","HUNH2","21630","TMHR EU regulated","Live","2015-05-07","Live","2021-04-01"
"Hungary","One Hungary","HUNVR","21670","TMHR EU regulated","Live","2021-05-26","Live","2024-04-10"
"Hungary","Yettel Magyarország Zártköruen Muködo Részvénytárs","HUNH1","21601","TMHR EU regulated","Live","2015-12-08","Live","2022-10-11"
"Iceland","Nova ehf.","ISLNO","27411","TMHR EU regulated","Live","2019-10-14","Live","2022-03-28"
"Iceland","Síminn h.f.","ISLPS","27401","TMHR EU regulated","Live","2015-12-22","Live","2022-06-27"
"Iceland","Sýn","ISLTL","27402","TMHR EU regulated","Live","2025-02-07","N/A",
"India","Airtel India","IND10","40554",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","IND11","40553",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","IND12","40552",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","IND14","40551",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","IND15","40556",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","IND16","40416",,"Live","2020-02-14","Live","2023-09-13"
