"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"Russian Federation","LETAI","RUS27","25027","HRVCN_HUB","Live","2017-08-16","N/A",
"Russian Federation","LLC Ekaterinburg-2000","RUSEC","25035","HRVCN_HUB","Live","2018-11-07","N/A",
"Russian Federation","MegaFon PJSC","RUSNW","25002",,"Live","2016-04-08","N/A",
"Russian Federation","PJSC Mobile TeleSystems (MTS)","RUS01","25001",,"Live","2016-02-29","N/A",
"Russian Federation","T2","RUST2","25020",,"Live","2019-12-09","Live","2026-03-09"
"Rwanda","Bharti Airtel Rwanda Holdings B.V.","RWATG","63513",,"Live","2020-03-16","N/A",
"Réunion","Orange La Reunion","REU02","64700","TMHR EU regulated","Live","2023-05-18","Live","2024-10-15"
"Saint Kitts and Nevis","FLOW St Kitts & Nevis","KNACW","356110","HRVCN_HUB","Live","2017-12-07","N/A",
"Saint Lucia","FLOW St. Lucia","LCACW","358110","HRVCN_HUB","Live","2017-12-07","N/A",
"Saudi Arabia","Mobily","SAUET","42003",,"Live","2016-01-20","Live","2023-05-23"
"Saudi Arabia","stc Group","SAUAJ","42001",,"Live","2016-05-26","N/A",
"Saudi Arabia","Zain Saudi Arabia","SAUZN","42004",,"Live","2021-02-08","Live","2022-09-01"
"Senegal","Orange Senegal","SENAZ","60801","HRVCN_HUB","Live","2024-04-02","N/A",
"Serbia","A1 Serbia","SRBNO","22005",,"Live","2020-10-21","N/A",
"Serbia","Telekom Srbija a.d.","YUGTS","22003",,"Live","2016-12-01","Live","2025-12-23"
"Serbia","Yettel Serbia","YUGMT","22001",,"Live","2016-08-04","Live","2026-03-30"
"Sierra Leone","Africell Sierra Leone","SLEAC","61905","HRVCN_HUB","Live","2019-08-26","N/A",
"Singapore","M1","SGPM1","52503",,"Live","2016-07-14","N/A",
"Singapore","SIMBA","SGPT1","52510",,"Live","2026-03-17","Live","2026-03-24"
"Singapore","Singtel Mobile Singapore PTE. LTD.","SGPST","52501",,"Live","2018-01-25","Live","2022-12-13"
"Singapore","StarHub Mobile Pte Ltd","SGPSH","52505",,"Live","2017-10-25","Live","2022-05-10"
"Slovakia","O2 Slovakia","SVKO2","23106","TMHR EU regulated","Live","2020-08-28","Live","2024-02-29"
"Slovakia","Orange Slovakia","SVKGT","23101","TMHR EU regulated","Live","2023-02-22","Live","2023-02-22"
"Slovakia","Slovak Telekom, a.s.","SVKET","23102","TMHR EU regulated","Live","2015-12-14","Live","2022-02-10"
"Slovenia","A1 Slovenija, d.d.","SVNSM","29340","TMHR EU regulated","Live","2015-05-29","Live","2022-05-12"
"Slovenia","Telekom Slovenije d.d.","SVNMT","29341","TMHR EU regulated","Live","2015-03-30","Live","2022-02-04"
"Slovenia","Telemach Slovenija d.o.o.","SVNVG","29370","TMHR EU regulated","Live","2017-06-05","Live","2022-01-12"
"South Africa","Cell C","ZAFCC","65507",,"Live","2019-10-14","N/A",
"South Africa","MTN South Africa","ZAFMN","65510",,"Live","2019-09-10","Live","2025-08-12"
"South Africa","Vodacom (Pty) Ltd.","ZAFVC","65501",,"Live","2020-02-27","N/A",
"Spain","Orange Spain","ESPRT","21403","TMHR EU regulated","Live","2015-06-23","Live","2022-05-17"
"Spain","Telefónica Móviles España","ESPTE","21407","TMHR EU regulated","Live","2016-09-19","Live","2022-11-24"
"Spain","Vodafone Spain","ESPAT","21401","TMHR EU regulated","Live","2021-05-26","N/A",
"Spain","Xfera Móviles, S.A.U.","ESPXF","21404","TMHR EU regulated","Live","2015-12-10","N/A",
"Sri Lanka","Hutch Sri Lanka","LKAHT","41308","HRVCN_HUB","Live","2021-09-03","N/A",
"Sri Lanka","Mobitel (Pvt) Limited","LKA71","41301","HRVCN_HUB","Live","2017-12-01","N/A",
"Sudan (The Republic of)","MTN Sudan","SDNBT","63402",,"Live","2019-10-28","N/A",
"Suriname","Digicel Suriname N.V.","SURDC","74603",,"Live","2026-05-12","N/A",
"Sweden","3 Sweden","SWEHU","24002","TMHR EU regulated","Live","2018-07-13","Live","2024-02-20"
"Sweden","Tele2 AB","SWEIQ","24007","TMHR EU regulated","Live","2021-03-25","Live","2023-10-03"
"Sweden","Telenor Sweden","SWEEP","24008","TMHR EU regulated","Live","2015-10-08","Live","2023-05-30"
"Sweden","Telia Company AB","SWETR","24001","TMHR EU regulated","Live","2015-06-11","Live","2021-12-10"
"Switzerland","Salt Switzerland","CHEOR","22803",,"Live","2017-05-24","Live","2022-09-15"
"Switzerland","Sunrise LLC","CHEDX","22802",,"Live","2019-05-31","Live","2022-09-01"
"Switzerland","Swisscom (Switzerland) Ltd","CHEC1","22801",,"Live","2015-05-20","Live","2022-07-15"
"Taiwan, Province of China","Chunghwa Telecom","TWNLD","46692",,"Live","2015-09-10","Live","2022-12-08"
"Taiwan, Province of China","Far EasTone Telecommunications Co Ltd (TWNFE)","TWNFE","46601",,"Live","2015-11-18","Live","2022-08-01"
"Tajikistan","Indigo Tajikistan CJSC","TJKIT","43602","HRVCN_HUB","Live","2024-09-05","N/A",
"Tanzania, United Republic of","Airtel Tanzania","TZACT","64005",,"Live","2021-02-15","Live","2025-03-13"
"Tanzania, United Republic of","Vodacom Tanzania Limited","TZAVC","64004",,"Live","2025-09-17","Live","2025-12-05"
"Thailand","Advanced Wireless Network Company Limited","THAWN","52003",,"Live","2017-08-25","Live","2023-02-14"
"Thailand","True Move H Universal Communication Co., Ltd","THACA","52004",,"Live","2025-08-14","Live","2025-08-14"
"Thailand","True Move H Universal Communication Co., Ltd","THADT","52005","HRVCN_HUB","Live","2016-08-16","Live","2023-10-05"
"Togo","Moov Africa Togo","TGOTL","61503","HRVCN_HUB","Live","2026-04-01","N/A",
"Tonga","Tonga Communications Corporation","TON01","53901","HRVCN_HUB","Live","2020-12-09","N/A",
"Tunisia","Ooredoo Tunisie SA","TUNTA","60503",,"Live","2017-09-14","Live","2025-02-14"
"Tunisia","Orange Tunisie, SA","TUNOR","60501","HRVCN_HUB","Live","2017-06-26","Live","2025-05-14"
"Tunisia","Tunisie Telecom","TUNTT","60502",,"Live","2024-08-25","Live","2025-08-05"
"Turks and Caicos Islands","FLOW Turks and Caicos","TCACW","376350","HRVCN_HUB","Live","2016-10-24","N/A",
"Türkiye","TT Mobil Iletisim Hizmetleri A.S.","TURIS","28603",,"Live","2019-10-01","Live","2022-07-29"
"Türkiye","Turkcell Iletisim Hizmetleri A.S.","TURTC","28601",,"Live","2016-04-20","N/A",
"Türkiye","Vodafone Turkey","TURTS","28602",,"Live","2021-05-26","N/A",
"Ukraine","Kyivstar, Private Joint Stock Company","UKRKS","25503",,"Live","2022-07-29","Live","2025-07-29"
"Ukraine","lifecell LLC","UKRAS","25506",,"Live","2023-02-23","N/A",
"Ukraine","PrJSC VF Ukraine","UKRUM","25501",,"Live","2018-11-26","N/A",
"United Arab Emirates","du","AREDU","42403",,"Live","2016-11-24","Live","2022-09-14"
"United Arab Emirates","Etisalat United Arab Emirates","ARETC","42402",,"Live","2015-07-06","Live","2021-12-10"
"United Kingdom","3 United Kingdom","GBRHU","23420",,"Live","2017-01-24","Live","2024-08-06"
"United Kingdom","EE Limited","GBRME","23430",,"Live","2015-05-07","Live","2023-01-24"
"United Kingdom","JT","GBRJT","23450",,"Live","2019-07-22","Live","2024-10-09"
"United Kingdom","Sure Guernsey","GBRGT","23455",,"Live","2024-03-21","N/A",
"United Kingdom","Virgin Media O2","GBRCN","23410",,"Live","2018-07-04","Live","2022-07-01"
"United Kingdom","Vodafone United Kingdom","GBRVF","23415",,"Live","2021-04-07","N/A",
"United States","AT&T Mobility","USACG","310410",,"Live","2015-10-30","N/A",
"United States","Cellular One","USASB","310320","HRVCN_HUB","Live","2018-03-01","N/A",
"United States","Limitless Mobile, LLC","USACW","310690","HRVCN_HUB","Live","2025-11-25","N/A",
"United States","T-Mobile United States","USAW6","310260",,"Live","2016-05-05","Live","2024-03-28"
"United States","The Alaska Wireless Network, LLC","USAGC","311370","HRVCN_HUB","Live","2023-07-03","N/A",
"United States","Union Telephone Company","USAUN","310020","HRVCN_HUB","Live","2023-11-16","N/A",
"United States","Viaero Wireless","USACI","310450",,"Live","2019-04-01","Live","2025-05-27"
"Uruguay","Antel","URYAN","74801",,"Live","2018-12-10","Live","2025-05-28"
"Uzbekistan","Beeline Uzbekistan","UZBDU","43404",,"Live","2022-08-01","Live","2025-09-25"
"Uzbekistan","Ucell","UZB05","43405",,"Live","2024-08-10","Live","2024-08-10"
"Uzbekistan","Uztelecom","UZB00","43408","HRVCN_HUB","Live","2021-04-15","N/A",
"Venezuela, Bolivarian Republic of","Corporacion Digitel C.A.","VEND2","73402",,"Live","2024-02-14","N/A",
"Vietnam","MobiFone","VNMMO","45201",,"Live","2018-12-06","N/A",
"Vietnam","Viettel Group","VNMVT","45204",,"Live","2023-04-14","Live","2023-12-01"
"Vietnam","Vinaphone","VNMVI","45202",,"Live","2025-12-05","N/A",
