Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.55,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,3.55,1.3472068336321659,False
HT,,Afghanistan,AF,,1.0,2.0,4.85,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,4.85,2.146138667264332,False
HT,,Afghanistan,AF,,1.25,3.0,5.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,5.7,2.5512045840804154,False
HT,,Afghanistan,AF,,1.75,4.0,7.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,7.1,3.3529364177125807,False
HT,,Afghanistan,AF,,2.25,5.0,8.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,8.5,4.154668251344747,False
HT,,Afghanistan,AF,,2.5,6.0,9.3,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,9.3,4.5583341681608305,False
HT,,Afghanistan,AF,,3.0,7.0,10.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,10.75,5.361466001792995,False
HT,,Afghanistan,AF,,3.25,8.0,11.55,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,11.55,5.765131918609079,False
HT,,Afghanistan,AF,,3.75,9.0,12.95,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,12.95,6.566863752241245,False
HT,,Afghanistan,AF,,4.0,10.0,13.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,13.7,6.9691296690573274,False
HT,,Afghanistan,AF,,4.5,11.0,15.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,15.1,7.770861502689494,False
HT,,Afghanistan,AF,,4.75,12.0,15.8,Basic,AF,iso_only,,"[""AF""]",AF|Basic|12,,,,,,15.8,8.171727419505576,False
HT,,Afghanistan,AF,,5.25,13.0,17.15,Basic,AF,iso_only,,"[""AF""]",AF|Basic|13,,,,,,17.15,8.972059253137742,False
HT,,Afghanistan,AF,,5.5,14.0,17.85,Basic,AF,iso_only,,"[""AF""]",AF|Basic|14,,,,,,17.85,9.372925169953826,False
HT,,Afghanistan,AF,,6.0,15.0,19.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|15,,,,,,19.1,10.170457003585991,False
HT,,Afghanistan,AF,,6.5,16.0,20.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|16,,,,,,20.35,10.967988837218158,False
HT,,Afghanistan,AF,,6.75,17.0,21.0,Basic,AF,iso_only,,"[""AF""]",AF|Basic|17,,,,,,21.0,11.36745475403424,False
HT,,Afghanistan,AF,,7.25,18.0,22.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|18,,,,,,22.2,12.163586587666407,False
HT,,Afghanistan,AF,,7.5,19.0,22.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|19,,,,,,22.75,12.56025250448249,False
HT,,Afghanistan,AF,,8.0,20.0,23.9,Basic,AF,iso_only,,"[""AF""]",AF|Basic|20,,,,,,23.9,13.354984338114654,False
HT,,Afghanistan,AF,,8.25,21.0,24.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|21,,,,,,24.45,13.751650254930738,False
HT,,Afghanistan,AF,,8.75,22.0,25.55,Basic,AF,iso_only,,"[""AF""]",AF|Basic|22,,,,,,25.55,14.544982088562906,False
HT,,Afghanistan,AF,,9.0,23.0,26.0,Basic,AF,iso_only,,"[""AF""]",AF|Basic|23,,,,,,26.0,14.938848005378986,False
HT,,Afghanistan,AF,,9.5,24.0,27.05,Basic,AF,iso_only,,"[""AF""]",AF|Basic|24,,,,,,27.05,15.730779839011152,False
HT,,Afghanistan,AF,,9.75,25.0,27.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|25,,,,,,27.5,16.124645755827235,False
HT,,Afghanistan,AF,,10.25,26.0,28.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|26,,,,,,28.45,16.913777589459404,False
HT,,Afghanistan,AF,,10.5,27.0,28.9,Basic,AF,iso_only,,"[""AF""]",AF|Basic|27,,,,,,28.9,17.307643506275483,False
HT,,Afghanistan,AF,,11.0,28.0,29.8,Basic,AF,iso_only,,"[""AF""]",AF|Basic|28,,,,,,29.8,18.09537533990765,False
HT,,Afghanistan,AF,,11.25,29.0,30.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|29,,,,,,30.2,18.487841256723733,False
HT,,Afghanistan,AF,,11.75,30.0,31.05,Basic,AF,iso_only,,"[""AF""]",AF|Basic|30,,,,,,31.05,19.2741730903559,False
HT,,Afghanistan,AF,,2.75,1.0,7.35,Large,AF,iso_only,,"[""AF""]",AF|Large|1,,,,,,7.35,4.885000084976912,False
HT,,Afghanistan,AF,,5.5,2.0,14.85,Large,AF,iso_only,,"[""AF""]",AF|Large|2,,,,,,14.85,9.288925169953826,False
HT,,Afghanistan,AF,,8.0,3.0,22.85,Large,AF,iso_only,,"[""AF""]",AF|Large|3,,,,,,22.85,13.325584338114655,False
HT,,Afghanistan,AF,,10.5,4.0,31.4,Large,AF,iso_only,,"[""AF""]",AF|Large|4,,,,,,31.4,17.377643506275483,False
HT,,Afghanistan,AF,,13.0,5.0,40.1,Large,AF,iso_only,,"[""AF""]",AF|Large|5,,,,,,40.1,21.433902674436315,False
HT,,Afghanistan,AF,,15.5,6.0,48.7,Large,AF,iso_only,,"[""AF""]",AF|Large|6,,,,,,48.7,25.487361842597146,False
HT,,Afghanistan,AF,,18.25,7.0,58.0,Large,AF,iso_only,,"[""AF""]",AF|Large|7,,,,,,58.0,29.941686927574057,False
HT,,Afghanistan,AF,,20.75,8.0,65.95,Large,AF,iso_only,,"[""AF""]",AF|Large|8,,,,,,65.95,33.97694609573489,False
HT,,Afghanistan,AF,,23.25,9.0,73.45,Large,AF,iso_only,,"[""AF""]",AF|Large|9,,,,,,73.45,37.99960526389571,False
HT,,Afghanistan,AF,,25.75,10.0,80.45,Large,AF,iso_only,,"[""AF""]",AF|Large|10,,,,,,80.45,42.00826443205655,False
HT,,Afghanistan,AF,,28.25,11.0,87.05,Large,AF,iso_only,,"[""AF""]",AF|Large|11,,,,,,87.05,46.00572360021737,False
HT,,Afghanistan,AF,,30.75,12.0,93.15,Large,AF,iso_only,,"[""AF""]",AF|Large|12,,,,,,93.15,49.9891827683782,False
HT,,Afghanistan,AF,,33.25,13.0,99.2,Large,AF,iso_only,,"[""AF""]",AF|Large|13,,,,,,99.2,53.97124193653904,False
HT,,Afghanistan,AF,,35.75,14.0,104.8,Large,AF,iso_only,,"[""AF""]",AF|Large|14,,,,,,104.8,57.94070110469986,False
HT,,Afghanistan,AF,,38.25,15.0,110.0,Large,AF,iso_only,,"[""AF""]",AF|Large|15,,,,,,110.0,61.8989602728607,False
HT,,Afghanistan,AF,,41.0,16.0,115.95,Large,AF,iso_only,,"[""AF""]",AF|Large|16,,,,,,115.95,66.2594853578376,False
HT,,Afghanistan,AF,,43.5,17.0,120.7,Large,AF,iso_only,,"[""AF""]",AF|Large|17,,,,,,120.7,70.20514452599843,False
