"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Andorra","AD","Andorra","https://saily.com/esim-andorra/","Unlimited","Unlimited","15","48.99","USD","","","2026-06-29","AND","9955d268-a226-413d-888a-06a8596cd2f3","Select Unlimited - 15 days for 48.99 USD.","","48.99","offer_schema"
"saily","Andorra","AD","Andorra","https://saily.com/esim-andorra/","Unlimited","Unlimited","20","59.99","USD","","","2026-06-29","AND","08f463c5-34fa-43ba-b371-4e06e980e91c","Select Unlimited - 20 days for 59.99 USD.","","59.99","offer_schema"
"saily","Andorra","AD","Andorra","https://saily.com/esim-andorra/","Unlimited","Unlimited","25","65.99","USD","","","2026-06-29","AND","df400b5d-0493-4e30-bc14-bfbec0562feb","Select Unlimited - 25 days for 65.99 USD.","","65.99","offer_schema"
"saily","Andorra","AD","Andorra","https://saily.com/esim-andorra/","Unlimited","Unlimited","30","71.99","USD","","","2026-06-29","AND","dcdfbc7e-7cbd-40a6-8d4c-0eb7d23c28c6","Select Unlimited - 30 days for 71.99 USD.","","71.99","offer_schema"
"saily","Anguilla","AI","Anguilla","https://saily.com/esim-anguilla/","Standard","1","7","8.49","USD","","","2026-06-29","AIA","saily-AIA-Standard-1-7-8.49","Select 1 GB - 7 days for 8.49 USD.","","8.49","visible_text"
"saily","Anguilla","AI","Anguilla","https://saily.com/esim-anguilla/","Standard","3","30","18.99","USD","","","2026-06-29","AIA","saily-AIA-Standard-3-30-18.99","Select 3 GB - 30 days for 18.99 USD.","","18.99","visible_text"
"saily","Anguilla","AI","Anguilla","https://saily.com/esim-anguilla/","Standard","5","30","27.99","USD","","","2026-06-29","AIA","saily-AIA-Standard-5-30-27.99","Select 5 GB - 30 days for 27.99 USD.","","27.99","visible_text"
"saily","Anguilla","AI","Anguilla","https://saily.com/esim-anguilla/","Standard","10","30","37.99","USD","","","2026-06-29","AIA","saily-AIA-Standard-10-30-37.99","Select 10 GB - 30 days for 37.99 USD.","","37.99","visible_text"
"saily","Antigua And Barbuda","AG","Antigua and Barbuda","https://saily.com/esim-antigua-and-barbuda/","Standard","1","7","8.99","USD","","","2026-06-29","ATG","saily-ATG-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Antigua And Barbuda","AG","Antigua and Barbuda","https://saily.com/esim-antigua-and-barbuda/","Standard","3","30","22.99","USD","","","2026-06-29","ATG","saily-ATG-Standard-3-30-22.99","Select 3 GB - 30 days for 22.99 USD.","","22.99","visible_text"
