"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data+Calls+SMS-20","20","30","52.99","USD","","","2026-06-26","DZA","data-calls-sms-20-20-30days-nooffer","20GB Texts 50 Calls 15min $52.99 USD Details","","52.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-20","20","30","41.99","USD","","","2026-06-26","DZA","data-20-20-30days-nooffer","20GB $41.99 USD Details","","41.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-50","50","30","49.99","USD","","","2026-06-26","DZA","data-50-50-30days-nooffer","50GB $49.99 USD Details","","49.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-100","100","30","85.99","USD","","","2026-06-26","DZA","data-100-100-30days-nooffer","100GB $85.99 USD Details","","85.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-100","100","45","87.99","USD","","","2026-06-26","DZA","data-100-100-45days-nooffer","100GB $87.99 USD Details","","87.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-1","1","7","5.99","USD","","","2026-06-26","AND","data-calls-sms-1-1-7days-nooffer","1GB Texts 200 Calls 60min $5.99 USD Details","","5.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-1","1","7","4.99","USD","","","2026-06-26","AND","data-1-1-7days-nooffer","1GB $4.99 USD Details","","4.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-3","3","7","10.99","USD","","","2026-06-26","AND","data-calls-sms-3-3-7days-nooffer","3GB Texts 200 Calls 60min $10.99 USD Details","","10.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-3","3","7","8.99","USD","","","2026-06-26","AND","data-3-3-7days-nooffer","3GB $8.99 USD Details","","8.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-5","5","7","13.99","USD","","","2026-06-26","AND","data-calls-sms-5-5-7days-nooffer","5GB Texts 200 Calls 60min $13.99 USD Details","","13.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-5","5","7","10.99","USD","","","2026-06-26","AND","data-5-5-7days-nooffer","5GB $10.99 USD Details","","10.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-10","10","7","19.99","USD","","","2026-06-26","AND","data-calls-sms-10-10-7days-nooffer","10GB Texts 500 Calls 120min $19.99 USD Details","","19.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-10","10","7","15.99","USD","","","2026-06-26","AND","data-10-10-7days-nooffer","10GB $15.99 USD Details","","15.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-10","10","14","20.99","USD","","","2026-06-26","AND","data-calls-sms-10-10-14days-nooffer","10GB Texts 500 Calls 120min $20.99 USD Details","","20.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-10","10","14","16.99","USD","","","2026-06-26","AND","data-10-10-14days-nooffer","10GB $16.99 USD Details","","16.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-20","20","14","26.99","USD","","","2026-06-26","AND","data-calls-sms-20-20-14days-nooffer","20GB Texts 500 Calls 120min $26.99 USD Details","","26.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-20","20","14","21.99","USD","","","2026-06-26","AND","data-20-20-14days-nooffer","20GB $21.99 USD Details","","21.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-20","20","30","27.99","USD","","","2026-06-26","AND","data-calls-sms-20-20-30days-nooffer","20GB Texts 500 Calls 120min $27.99 USD Details","","27.99"
