"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","1","9.5","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-1","Algeria","8.9","9.5"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","2","14.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-2","Algeria","13.9","14.9"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","3","19.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-3","Algeria","18.9","19.9"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","4","25.5","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-4","Algeria","23.9","25.5"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","5","30.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-5","Algeria","28.9","30.9"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","6","36.5","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-6","Algeria","33.9","36.5"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","7","39.5","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-7","Algeria","36.9","39.5"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","8","41.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-8","Algeria","38.9","41.9"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","9","44.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-9","Algeria","41.9","44.9"
"holafly","Algeria","DZ","Algeria","https://esim.holafly.com/esim-algeria/","Unlimited","Unlimited","10","46.9","USD","","","2026-07-06","DZA","holafly-DZA-unlimited-10","Algeria","43.9","46.9"
