"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","6","33.9","USD","","","2026-06-15","EGY","48634227523920","Egypt","30.9","33.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","7","36.9","USD","","","2026-06-15","EGY","40800479969377","Egypt","33.9","36.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","8","37.9","USD","","","2026-06-15","EGY","48634227556688","Egypt","34.9","37.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","9","38.9","USD","","","2026-06-15","EGY","48634227589456","Egypt","35.9","38.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","10","39.9","USD","","","2026-06-15","EGY","40800480002145","Egypt","36.9","39.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","11","42.9","USD","","","2026-06-15","EGY","48634227622224","Egypt","38.9","42.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","12","44.9","USD","","","2026-06-15","EGY","48634227654992","Egypt","40.9","44.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","13","46.9","USD","","","2026-06-15","EGY","48634227687760","Egypt","42.9","46.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","14","48.9","USD","","","2026-06-15","EGY","48634227720528","Egypt","44.9","48.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","15","50.9","USD","","","2026-06-15","EGY","40800480034913","Egypt","46.9","50.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","16","52.9","USD","","","2026-06-15","EGY","48634227753296","Egypt","48.9","52.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","17","53.9","USD","","","2026-06-15","EGY","48634227786064","Egypt","49.9","53.9"
