Provider,ISO,Country,URL,Plan,GB,Days,Price,Currency,ISO3,Type,Cost,Cost_Floor_Reference,SurfaceModeUsed,PricingSourceUsed,PricingUnitIdUsed,PricingRegionUsed,PricingUnitCountriesUsed,Is_Below_Cost_Floor,Cost_Floor_Gap,sku_scope_key,SKU,OverridePrice,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CompetitorTargetPricePerGB,CompetitorMinPricePerGB,HTPricePerGB
HT,AD,Andorra,,Basic,0.5,1.0,3.8,,,cost,2.20438069248,3.3179041898368,unit,json_unit,ANALONE,Andorra,"[""AD""]",False,0.0,,ANALONE_BASIC_1,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.0,2.0,4.65,,,cost,4.220508619508135,5.9086285760679536,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,1.2586285760679532,,ANALONE_BASIC_2,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.25,3.0,5.2,,,cost,6.205664323440434,8.459553655620958,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,3.259553655620958,,ANALONE_BASIC_3,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.75,4.0,6.0,,,cost,8.174787624959999,10.989877098073597,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,4.989877098073597,,ANALONE_BASIC_4,,,,,,,,,,,
HT,AD,Andorra,,Basic,2.25,5.0,6.75,,,cost,10.13366533782937,13.50703495911074,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,6.75703495911074,,ANALONE_BASIC_5,,,,,,,,,,,
HT,AD,Andorra,,Basic,2.5,6.0,7.3,,,cost,12.085265292452888,16.01484090080196,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,8.71484090080196,,ANALONE_BASIC_6,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.0,7.0,8.05,,,cost,14.031350516222606,18.515560413346048,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,10.465560413346047,,ANALONE_BASIC_7,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.25,8.0,8.5,,,cost,15.97306971901627,21.010669588935905,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,12.510669588935905,,ANALONE_BASIC_8,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.75,9.0,9.25,,,cost,17.911220797440002,23.5011937247104,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,14.2511937247104,,ANALONE_BASIC_9,,,,,,,,,,,
HT,AD,Andorra,,Basic,4.0,10.0,9.7,,,cost,19.846384695156047,25.987879333275522,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,16.287879333275523,,ANALONE_BASIC_10,,,,,,,,,,,
HT,AD,Andorra,,Basic,4.5,11.0,10.4,,,cost,21.7789999777035,28.471289971348998,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,18.071289971348996,,ANALONE_BASIC_11,,,,,,,,,,,
HT,AD,Andorra,,Basic,4.75,12.0,10.85,,,cost,23.709407366880868,30.951863466441914,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,20.101863466441912,,ANALONE_BASIC_12,,,,,,,,,,,
HT,AD,Andorra,,Basic,5.25,13.0,11.55,,,cost,25.63787782084803,33.42994799978972,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,21.879947999789717,,ANALONE_BASIC_13,,,,,,,,,,,
HT,AD,Andorra,,Basic,5.5,14.0,11.95,,,cost,27.5646310314394,35.90582587539963,unit,json_unit,ANALONE,Andorra,"[""AD""]",True,23.95582587539963,,ANALONE_BASIC_14,,,,,,,,,,,
