Provider,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
orange,407,214,49,144,111,0,33
airalo,105,20,2,83,83,0,0
holafly,60,0,0,60,60,0,0
saily,20,6,9,5,5,0,0
