ISO3,Provider,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,SpecialOffer_old,SpecialOffer_new
AFG,vodafone,7,2,deleted,,11.0,,N,
AFG,vodafone,7,3,changed,price,12.0,13.0,N,N
AFG,vodafone,7,4,new,,,18.0,,N
AFG,vodafone,7,6,new,,,14.5,,N
AFG,vodafone,15,5,changed,price,18.0,19.0,N,N
AFG,vodafone,15,10,new,,,21.5,,N
AFG,vodafone,30,15,changed,price,40.0,42.5,N,N
AFG,vodafone,30,30,new,,,47.0,,N
AIA,vodafone,7,2,changed,price,11.0,12.0,N,N
AIA,vodafone,7,4,new,,,13.0,,N
AIA,vodafone,10,6,new,,,18.0,,N
AIA,vodafone,15,5,changed,price,26.0,26.5,N,N
AIA,vodafone,15,10,new,,,29.5,,N
ALB,airalo,3,9,changed,price,4.0,20.5,,
ALB,airalo,7,21,changed,price,9.0,36.5,,
ALB,airalo,15,45,changed,price,12.5,57.5,,
ALB,airalo,30,90,changed,price,13.0,98.0,,
ALB,orange,7,1,new,,,4.99,,
ALB,orange,7,2,deleted,,8.99,,,
ALB,orange,7,3,new,,,10.99,,
ALB,orange,7,5,changed,price,12.99,13.99,,
ALB,orange,7,10,changed,price,19.99,20.99,,
ALB,orange,14,10,changed,price,20.99,22.99,,
ALB,orange,14,20,changed,price,37.99,41.99,,
ALB,orange,30,20,changed,price,48.99,47.99,,
ALB,orange,30,50,new,,,55.99,,
ALB,orange,30,100,new,,,80.99,,
ALB,orange,45,100,new,,,82.99,,
ALB,vodafone,7,5,changed,price,10.0,11.0,N,N
ALB,vodafone,7,10,new,,,12.0,,N
ALB,vodafone,10,10,changed,price,18.0,19.0,N,N
ALB,vodafone,10,20,new,,,21.5,,N
ALB,vodafone,15,45,new,,,43.5,,N
ALB,vodafone,15,100,deleted,,37.0,,N,
ALB,vodafone,30,20,changed,price,29.0,31.0,N,N
ALB,vodafone,30,40,new,,,34.0,,N
ALB,vodafone,30,50,changed,price,32.0,34.0,N,N
ALB,vodafone,30,100,new,,,37.5,,N
AND,holafly,1,3,deleted,,6.9,,,
AND,holafly,2,6,deleted,,9.9,,,
AND,holafly,3,9,deleted,,12.9,,,
AND,holafly,4,12,deleted,,16.9,,,
AND,holafly,5,15,deleted,,20.9,,,
AND,holafly,6,18,deleted,,24.9,,,
