ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
AFG,orange,Data+Calls+SMS-1,30,1,new,,,34.99,,USD,,34.99,,,,
ALB,orange,Data+Calls+SMS-20,30,20,new,,,28.99,,USD,,28.99,,,,40% OFF
ALB,orange,Data-1,7,1,new,,,4.99,,USD,,4.99,,,,
ALB,orange,Data-10,7,10,new,,,20.99,,USD,,20.99,,,,
ALB,orange,Data-3,7,3,new,,,10.99,,USD,,10.99,,,,
ALB,orange,Data-5,7,5,new,,,13.99,,USD,,13.99,,,,
AND,orange,Data+Calls+SMS-1,7,1,new,,,5.99,,USD,,5.99,,,,
AND,orange,Data+Calls+SMS-10,7,10,new,,,19.99,,USD,,19.99,,,,
AND,orange,Data+Calls+SMS-3,7,3,new,,,10.99,,USD,,10.99,,,,
AND,orange,Data+Calls+SMS-5,7,5,new,,,13.99,,USD,,13.99,,,,
AND,orange,Data-1,7,1,new,,,4.99,,USD,,4.99,,,,
AND,orange,Data-10,7,10,new,,,15.99,,USD,,15.99,,,,
AND,orange,Data-3,7,3,new,,,8.99,,USD,,8.99,,,,
AND,orange,Data-5,7,5,new,,,10.99,,USD,,10.99,,,,
ARE,orange,Data+Calls+SMS-10,30,10,new,,,41.99,,USD,,41.99,,,,
ARE,orange,Data+Calls+SMS-100,30,100,new,,,75.99,,USD,,75.99,,,,30% OFF
ARE,orange,Data+Calls+SMS-20,30,20,new,,,41.99,,USD,,41.99,,,,30% OFF
ARE,orange,Data+Calls+SMS-5,30,5,new,,,23.99,,USD,,23.99,,,,
ARE,orange,Data+Calls+SMS-50,30,50,new,,,58.99,,USD,,58.99,,,,30% OFF
ARE,orange,Data-1,7,1,new,,,4.99,,USD,,4.99,,,,
ARE,orange,Data-10,7,10,new,,,19.99,,USD,,19.99,,,,
ARE,orange,Data-3,7,3,new,,,10.99,,USD,,10.99,,,,
ARE,orange,Data-5,7,5,new,,,13.99,,USD,,13.99,,,,
ARG,orange,Data+Calls+SMS-5,7,5,new,,,29.99,,USD,,29.99,,,,
ARG,orange,Data-1,7,1,new,,,4.99,,USD,,4.99,,,,
ARG,orange,Data-10,7,10,new,,,28.99,,USD,,28.99,,,,
ARG,orange,Data-3,7,3,new,,,14.99,,USD,,14.99,,,,
ARG,orange,Data-5,7,5,new,,,17.99,,USD,,17.99,,,,
ARM,orange,Data+Calls+SMS-10,30,10,new,,,34.99,,USD,,34.99,,,,
ARM,orange,Data+Calls+SMS-2,30,2,new,,,14.99,,USD,,14.99,,,,
ARM,orange,Data+Calls+SMS-20,30,20,new,,,52.99,,USD,,52.99,,,,
ARM,orange,Data+Calls+SMS-5,30,5,new,,,22.99,,USD,,22.99,,,,
ARM,orange,Data+Calls+SMS-50,30,50,new,,,76.99,,USD,,76.99,,,,
ARM,orange,Data-1,7,1,new,,,5.99,,USD,,5.99,,,,
