Provider,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
holafly,2713,1980,0,733,733.0,0,0
orange,23,6,1,16,16.0,0,0
airalo,1,1,0,0,,0,0
saily,1,0,0,1,1.0,0,0
