ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
ALB,saily,Standard,30,20,changed,price,35.99,29.99,USD,USD,35.99,29.99,,,,
ALB,saily,Unlimited,7,21,new,,,35.99,,USD,,35.99,,,,
AND,saily,Unlimited,7,21,new,,,28.99,,USD,,28.99,,,,
AUS,saily,Unlimited,7,21,new,,,26.99,,USD,,26.99,,,,
AUT,saily,Unlimited,5,15,new,,,18.99,,USD,,18.99,,,,
AUT,saily,Unlimited,7,21,new,,,26.99,,USD,,26.99,,,,
BEL,saily,Unlimited,5,15,new,,,18.99,,USD,,18.99,,,,
BEL,saily,Unlimited,7,21,new,,,26.99,,USD,,26.99,,,,
BGR,airalo,Unlimited,5,15,changed,price,19.0,18.5,USD,USD,19.0,18.5,19.0,18.5,,
BGR,airalo,Unlimited,10,30,changed,price,35.0,34.5,USD,USD,35.0,34.5,35.0,34.5,,
BGR,airalo,Unlimited,15,45,changed,price,49.0,48.0,USD,USD,49.0,48.0,49.0,48.0,,
BGR,airalo,Unlimited,30,90,changed,price,72.0,71.0,USD,USD,72.0,71.0,72.0,71.0,,
BGR,saily,Unlimited,3,9,new,,,11.49,,USD,,11.49,,,,
BGR,saily,Unlimited,7,21,new,,,26.99,,USD,,26.99,,,,
BRA,saily,Unlimited,7,21,new,,,26.99,,USD,,26.99,,,,
CAN,airalo,Standard,15,30,deleted,,44.0,,USD,,44.0,,44.0,,,
CAN,airalo,Standard,30,30,deleted,,49.0,,USD,,49.0,,49.0,,,
CAN,saily,Unlimited,7,21,new,,,28.99,,USD,,28.99,,,,
CHE,holafly,Unlimited,4,12,changed,price,16.5,14.9,USD,USD,16.5,14.9,14.9,14.5,,
CHE,holafly,Unlimited,5,15,changed,price,20.5,18.5,USD,USD,20.5,18.5,18.5,17.5,,
CHE,holafly,Unlimited,6,18,changed,price,23.9,21.9,USD,USD,23.9,21.9,21.9,20.5,,
CHE,holafly,Unlimited,7,21,changed,price,27.5,25.5,USD,USD,27.5,25.5,25.5,23.9,,
CHE,holafly,Unlimited,8,24,changed,price,30.9,28.9,USD,USD,30.9,28.9,28.9,26.9,,
CHE,holafly,Unlimited,9,27,changed,price,33.9,31.9,USD,USD,33.9,31.9,31.9,29.9,,
CHE,holafly,Unlimited,10,30,changed,price,36.5,34.9,USD,USD,36.5,34.9,33.9,32.5,,
CHE,holafly,Unlimited,11,33,changed,price,39.5,37.5,USD,USD,39.5,37.5,36.9,34.9,,
CHE,holafly,Unlimited,12,36,changed,price,42.9,40.5,USD,USD,42.9,40.5,39.9,37.5,,
CHE,holafly,Unlimited,13,39,changed,price,44.9,42.5,USD,USD,44.9,42.5,41.9,39.5,,
