ISO3,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
CHE,32,1,0,31,30.0,0,1.0
PAN,32,0,0,32,32.0,0,0.0
ESP,30,2,0,28,27.0,0,1.0
ITA,28,1,0,27,27.0,0,0.0
PRI,26,0,0,26,26.0,0,0.0
NZL,22,6,0,16,16.0,0,0.0
EGY,14,0,0,14,14.0,0,0.0
MAR,12,3,0,9,9.0,0,0.0
SLV,12,0,0,12,12.0,0,0.0
DEU,10,2,0,8,8.0,0,0.0
IRL,10,2,0,8,8.0,0,0.0
THA,10,0,0,10,9.0,0,1.0
URY,8,2,0,6,6.0,0,0.0
HRV,7,2,0,5,5.0,0,0.0
SRB,7,1,0,6,6.0,0,0.0
BGR,6,2,0,4,4.0,0,0.0
GRC,6,1,0,5,5.0,0,0.0
HKG,6,1,0,5,4.0,0,1.0
TUR,6,1,0,5,5.0,0,0.0
DNK,5,2,0,3,3.0,0,0.0
EST,5,1,0,4,4.0,0,0.0
HUN,5,1,0,4,4.0,0,0.0
KOR,5,1,0,4,3.0,0,1.0
LTU,5,1,0,4,4.0,0,0.0
LUX,5,1,0,4,4.0,0,0.0
MYS,5,1,0,4,4.0,0,0.0
NLD,5,1,0,4,4.0,0,0.0
NOR,5,1,0,4,4.0,0,0.0
PHL,5,1,0,4,4.0,0,0.0
POL,5,1,0,4,4.0,0,0.0
ROU,5,1,0,4,4.0,0,0.0
SAU,5,0,0,5,5.0,0,0.0
SGP,5,1,0,4,4.0,0,0.0
TZA,5,0,0,5,5.0,0,0.0
VNM,5,1,0,4,4.0,0,0.0
CYP,4,1,0,3,3.0,0,0.0
CZE,4,2,0,2,2.0,0,0.0
FIN,4,1,0,3,3.0,0,0.0
JPN,4,0,0,4,4.0,0,0.0
KEN,4,0,0,4,4.0,0,0.0
LVA,4,1,0,3,3.0,0,0.0
MLT,4,1,0,3,3.0,0,0.0
SWE,4,2,0,2,2.0,0,0.0
CAN,3,1,2,0,,0,
CRI,3,0,0,3,3.0,0,0.0
ECU,3,0,0,3,3.0,0,0.0
FJI,3,0,0,3,3.0,0,0.0
FRA,3,2,0,1,1.0,0,0.0
IDN,3,1,0,2,2.0,0,0.0
QAT,3,0,0,3,3.0,0,0.0
SVK,3,0,0,3,3.0,0,0.0
TON,3,0,0,3,3.0,0,0.0
TUN,3,0,3,0,,0,
ALB,2,1,0,1,1.0,0,0.0
AUT,2,2,0,0,,0,
BEL,2,2,0,0,,0,
CHL,2,0,0,2,2.0,0,0.0
MEX,2,1,1,0,,0,
MNE,2,1,0,1,1.0,0,0.0
PRT,2,2,0,0,,0,
SVN,2,1,0,1,1.0,0,0.0
USA,2,0,1,1,1.0,0,0.0
AND,1,1,0,0,,0,
AUS,1,1,0,0,,0,
BRA,1,1,0,0,,0,
CHN,1,0,0,1,1.0,0,0.0
CUB,1,1,0,0,,0,
GBR,1,0,0,1,1.0,0,0.0
IND,1,1,0,0,,0,
ISL,1,1,0,0,,0,
ISR,1,1,0,0,,0,
KWT,1,0,0,1,0.0,0,1.0
RWA,1,0,0,1,1.0,0,0.0
SEN,1,0,1,0,,0,
TWN,1,1,0,0,,0,
