ISO3,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
PRY,62,15,32,15,15.0,0,0.0
GTM,59,18,30,11,11.0,0,0.0
ECU,57,15,30,12,12.0,0,0.0
PAN,50,12,32,6,6.0,0,0.0
GRC,49,5,40,4,4.0,0,0.0
KHM,49,11,34,4,4.0,0,0.0
LKA,49,11,33,5,5.0,0,0.0
NIC,49,12,32,5,5.0,0,0.0
TZA,47,9,34,4,4.0,0,0.0
CHL,46,10,33,3,3.0,0,0.0
ZAF,46,9,33,4,4.0,0,0.0
ISL,45,5,30,10,10.0,0,0.0
JOR,45,7,32,6,4.0,0,2.0
MYS,45,9,30,6,4.0,0,2.0
SGP,45,11,30,4,4.0,0,0.0
SLV,45,10,32,3,3.0,0,0.0
LAO,44,8,32,4,4.0,0,0.0
MEX,44,9,3,32,29.0,0,3.0
URY,44,10,32,2,2.0,0,0.0
DZA,43,10,31,2,2.0,0,0.0
MAC,43,8,32,3,3.0,0,0.0
PER,43,9,30,4,3.0,0,1.0
CRI,42,9,30,3,3.0,0,0.0
ISR,42,7,32,3,3.0,0,0.0
SEN,41,5,31,5,5.0,0,0.0
TUN,41,6,30,5,3.0,0,2.0
PRT,40,5,32,3,3.0,0,0.0
USA,40,10,1,29,27.0,0,2.0
IRL,39,5,31,3,3.0,0,0.0
AND,38,4,31,3,3.0,0,0.0
BEL,38,4,30,4,4.0,0,0.0
CZE,38,4,30,4,4.0,0,0.0
DNK,38,4,30,4,4.0,0,0.0
HRV,38,4,30,4,4.0,0,0.0
LTU,38,4,30,4,4.0,0,0.0
QAT,38,4,30,4,4.0,0,0.0
CYP,37,3,30,4,4.0,0,0.0
EST,37,4,30,3,3.0,0,0.0
FIN,37,4,30,3,3.0,0,0.0
LUX,37,4,30,3,3.0,0,0.0
MLT,37,4,30,3,3.0,0,0.0
NOR,37,4,30,3,3.0,0,0.0
PRI,37,4,31,2,2.0,0,0.0
ROU,37,4,30,3,3.0,0,0.0
SAU,37,4,30,3,3.0,0,0.0
AUT,36,3,30,3,3.0,0,0.0
GHA,36,3,30,3,3.0,0,0.0
HUN,36,3,30,3,3.0,0,0.0
KEN,36,4,31,1,1.0,0,0.0
MUS,36,3,30,3,3.0,0,0.0
OMN,36,3,30,3,3.0,0,0.0
POL,36,3,30,3,3.0,0,0.0
