ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
AUS,orange,Data+Calls+SMS-10,14,10,new,,,32.99,,USD,,32.99,,,,
AUS,orange,Data+Calls+SMS-100,30,100,new,,,57.99,,USD,,57.99,,,,40% OFF
AUS,orange,Data+Calls+SMS-2,7,2,new,,,13.99,,USD,,13.99,,,,
AUS,orange,Data+Calls+SMS-20,30,20,new,,,32.99,,USD,,32.99,,,,40% OFF
AUS,orange,Data+Calls+SMS-5,7,5,new,,,20.99,,USD,,20.99,,,,
AUS,orange,Data+Calls+SMS-50,30,50,new,,,50.99,,USD,,50.99,,,,30% OFF
CHE,orange,Data-1,7,1,changed,price+promo,4.99,1.21,USD,USD,4.99,1.21,,,,Clearance Sale
CHE,orange,Data-10,14,10,changed,price+promo,16.99,3.99,USD,USD,16.99,3.99,,,,Clearance Sale
CHE,orange,Data-20,30,20,changed,price+promo,22.99,4.99,USD,USD,22.99,4.99,,,,Clearance Sale
CHE,orange,Data-3,7,3,changed,price+promo,8.99,1.59,USD,USD,8.99,1.59,,,,Clearance Sale
CHE,orange,Data-5,7,5,changed,price+promo,10.99,2.48,USD,USD,10.99,2.48,,,,Clearance Sale
CHE,orange,Data-Unlimited,1,3,new,,,2.99,,USD,,2.99,,,,Clearance Sale
CHE,orange,Data-Unlimited,5,15,deleted,,20.99,,USD,,20.99,,,,30% OFF,
CUB,orange,Data+Calls+SMS-1,7,1,new,,,7.99,,USD,,7.99,,,,Clearance Sale
CUB,orange,Data+Calls+SMS-10,14,10,new,,,47.99,,USD,,47.99,,,,Clearance Sale
CUB,orange,Data+Calls+SMS-20,10,20,new,,,59.99,,USD,,59.99,,,,Clearance Sale
CUB,orange,Data+Calls+SMS-3,7,3,new,,,14.99,,USD,,14.99,,,,Clearance Sale
CUB,orange,Data+Calls+SMS-5,7,5,new,,,23.99,,USD,,23.99,,,,Clearance Sale
DZA,airalo,Unlimited,3,9,changed,price,4.5,18.5,USD,USD,4.5,18.5,18.5,18.5,,
