ISO3,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
MEX,44,6,0,38,38.0,0,0
PER,39,10,0,29,29.0,0,0
MAR,36,6,0,30,30.0,0,0
FRA,22,5,6,11,11.0,0,0
KOR,18,18,0,0,,0,0
ECU,16,10,0,6,6.0,0,0
USA,15,6,0,9,9.0,0,0
CAN,14,6,0,8,8.0,0,0
BRA,12,12,0,0,,0,0
ESP,12,12,0,0,,0,0
CHE,11,8,0,3,3.0,0,0
COL,10,10,0,0,,0,0
GTM,10,10,0,0,,0,0
MYS,10,10,0,0,,0,0
NZL,10,10,0,0,,0,0
SGP,10,10,0,0,,0,0
ARE,9,9,0,0,,0,0
ARM,9,9,0,0,,0,0
IND,9,9,0,0,,0,0
ISL,9,9,0,0,,0,0
AND,8,8,0,0,,0,0
AUT,8,8,0,0,,0,0
BEL,8,8,0,0,,0,0
BGR,8,8,0,0,,0,0
BWA,8,8,0,0,,0,0
CYP,8,8,0,0,,0,0
CZE,8,8,0,0,,0,0
DEU,8,8,0,0,,0,0
DNK,8,8,0,0,,0,0
EST,8,8,0,0,,0,0
FIN,8,8,0,0,,0,0
GBR,8,8,0,0,,0,0
GEO,8,8,0,0,,0,0
GRC,8,8,0,0,,0,0
HRV,8,8,0,0,,0,0
HUN,8,8,0,0,,0,0
IRL,8,8,0,0,,0,0
ITA,8,8,0,0,,0,0
LIE,8,8,0,0,,0,0
LTU,8,8,0,0,,0,0
LUX,8,8,0,0,,0,0
LVA,8,8,0,0,,0,0
MCO,8,8,0,0,,0,0
MLT,8,8,0,0,,0,0
NLD,8,8,0,0,,0,0
PAN,8,5,0,3,3.0,0,0
PRT,8,8,0,0,,0,0
ROU,8,8,0,0,,0,0
SVK,8,8,0,0,,0,0
SVN,8,8,0,0,,0,0
SWE,8,8,0,0,,0,0
CHL,7,7,0,0,,0,0
CHN,7,7,0,0,,0,0
GHA,7,7,0,0,,0,0
IRQ,7,7,0,0,,0,0
SLV,7,7,0,0,,0,0
THA,7,5,0,2,2.0,0,0
TUN,7,7,0,0,,0,0
URY,7,7,0,0,,0,0
ZAF,7,7,0,0,,0,0
AUS,6,6,0,0,,0,0
CRI,6,6,0,0,,0,0
EGY,6,6,0,0,,0,0
IDN,6,6,0,0,,0,0
ISR,6,6,0,0,,0,0
JOR,6,6,0,0,,0,0
JPN,6,6,0,0,,0,0
PHL,6,6,0,0,,0,0
SAU,6,6,0,0,,0,0
VNM,6,6,0,0,,0,0
ALB,5,5,0,0,,0,0
ARG,5,5,0,0,,0,0
COD,5,5,0,0,,0,0
DZA,5,5,0,0,,0,0
GLP,5,5,0,0,,0,0
HKG,5,5,0,0,,0,0
KHM,5,5,0,0,,0,0
LAO,5,5,0,0,,0,0
LBR,5,5,0,0,,0,0
MAC,5,5,0,0,,0,0
MDA,5,5,0,0,,0,0
MLI,5,5,0,0,,0,0
MNE,5,5,0,0,,0,0
NGA,5,5,0,0,,0,0
NIC,5,5,0,0,,0,0
NOR,5,5,0,0,,0,0
PRY,5,5,0,0,,0,0
QAT,5,5,0,0,,0,0
REU,5,5,0,0,,0,0
SEN,5,5,0,0,,0,0
SRB,5,5,0,0,,0,0
TUR,5,5,0,0,,0,0
TWN,5,5,0,0,,0,0
TZA,5,5,0,0,,0,0
BIH,4,4,0,0,,0,0
BLR,4,4,0,0,,0,0
BMU,4,4,0,0,,0,0
KAZ,4,4,0,0,,0,0
KWT,4,4,0,0,,0,0
LKA,4,4,0,0,,0,0
MKD,4,4,0,0,,0,0
AZE,3,3,0,0,,0,0
CUB,3,3,0,0,,0,0
GGY,3,3,0,0,,0,0
JEY,3,3,0,0,,0,0
PRI,3,0,0,3,3.0,0,0
POL,2,2,0,0,,0,0
UZB,2,2,0,0,,0,0
AFG,1,1,0,0,,0,0
BHR,1,1,0,0,,0,0
BHS,1,1,0,0,,0,0
BRB,1,1,0,0,,0,0
CPV,1,1,0,0,,0,0
FJI,1,1,0,0,,0,0
GRL,1,1,0,0,,0,0
JAM,1,1,0,0,,0,0
KEN,1,1,0,0,,0,0
LBN,1,1,0,0,,0,0
LCA,1,1,0,0,,0,0
MUS,1,1,0,0,,0,0
NPL,1,1,0,0,,0,0
PNG,1,1,0,0,,0,0
RWA,1,1,0,0,,0,0
SLE,1,1,0,0,,0,0
TCA,1,1,0,0,,0,0
TON,1,1,0,0,,0,0
VEN,1,1,0,0,,0,0
