ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
BGR,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
BGR,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
BGR,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
BGR,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
BGR,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
BGR,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
BGR,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
BGR,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
BHR,orange,Data+Calls+SMS-15,30,15,deleted,,34.99,,USD,,34.99,,,,,
BHS,orange,Data+Calls+SMS-1,30,1,deleted,,34.99,,USD,,34.99,,,,,
BIH,orange,Data+Calls+SMS-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
BIH,orange,Data+Calls+SMS-10,7,10,deleted,,20.99,,USD,,20.99,,,,,
BIH,orange,Data+Calls+SMS-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
BIH,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
BLR,orange,Data+Calls+SMS-1,7,1,deleted,,9.99,,USD,,9.99,,,,,
BLR,orange,Data+Calls+SMS-10,7,10,deleted,,34.99,,USD,,34.99,,,,,
BLR,orange,Data+Calls+SMS-3,7,3,deleted,,25.99,,USD,,25.99,,,,,
BLR,orange,Data+Calls+SMS-5,7,5,deleted,,28.99,,USD,,28.99,,,,,
BMU,orange,Data+Calls+SMS-10,30,10,deleted,,82.99,,USD,,82.99,,,,,
BMU,orange,Data+Calls+SMS-2,30,2,deleted,,49.99,,USD,,49.99,,,,,
BMU,orange,Data+Calls+SMS-20,30,20,deleted,,94.99,,USD,,94.99,,,,,
BMU,orange,Data+Calls+SMS-5,30,5,deleted,,70.99,,USD,,70.99,,,,,
BRA,airalo,Unlimited,3,9,deleted,,11.0,,USD,,11.0,,11.0,,,
BRA,airalo,Unlimited,5,15,deleted,,18.0,,USD,,18.0,,18.0,,,
BRA,airalo,Unlimited,7,21,deleted,,25.0,,USD,,25.0,,25.0,,,
BRA,airalo,Unlimited,10,30,deleted,,32.0,,USD,,32.0,,32.0,,,
BRA,airalo,Unlimited,15,45,deleted,,46.0,,USD,,46.0,,46.0,,,
BRA,airalo,Unlimited,30,90,deleted,,85.0,,USD,,85.0,,85.0,,,
BRA,orange,Data+Calls+SMS-2,7,2,deleted,,15.99,,USD,,15.99,,,,,
BRA,orange,Data+Calls+SMS-5,7,5,deleted,,29.99,,USD,,29.99,,,,,
BRA,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
BRA,orange,Data-10,7,10,deleted,,23.99,,USD,,23.99,,,,,
BRA,orange,Data-3,7,3,deleted,,11.99,,USD,,11.99,,,,,
BRA,orange,Data-5,7,5,deleted,,15.99,,USD,,15.99,,,,,
BRB,orange,Data+Calls+SMS-1,30,1,deleted,,34.99,,USD,,34.99,,,,,
