ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
AUS,orange,Data+Calls+SMS-10,14,10,deleted,,32.99,,USD,,32.99,,,,,
AUS,orange,Data+Calls+SMS-100,30,100,deleted,,57.99,,USD,,57.99,,,,40% OFF,
AUS,orange,Data+Calls+SMS-2,7,2,deleted,,13.99,,USD,,13.99,,,,,
AUS,orange,Data+Calls+SMS-20,30,20,deleted,,32.99,,USD,,32.99,,,,40% OFF,
AUS,orange,Data+Calls+SMS-5,7,5,deleted,,20.99,,USD,,20.99,,,,,
AUS,orange,Data+Calls+SMS-50,30,50,deleted,,50.99,,USD,,50.99,,,,30% OFF,
CAN,orange,Data+Calls+SMS-10,14,10,changed,price,24.99,29.99,EUR,USD,,29.99,24.99,,,
CAN,orange,Data+Calls+SMS-100,30,100,changed,price,55.99,67.99,EUR,USD,,67.99,55.99,,40% OFF,40% OFF
CAN,orange,Data+Calls+SMS-2,7,2,changed,price,7.99,9.99,EUR,USD,,9.99,7.99,,,
CAN,orange,Data+Calls+SMS-20,30,20,changed,price,23.99,28.99,EUR,USD,,28.99,23.99,,40% OFF,40% OFF
CAN,orange,Data+Calls+SMS-5,7,5,changed,price,19.99,23.99,EUR,USD,,23.99,19.99,,,
CAN,orange,Data+Calls+SMS-50,30,50,changed,price,36.99,43.99,EUR,USD,,43.99,36.99,,30% OFF,30% OFF
CAN,orange,Data-1,7,1,changed,price,5.99,7.99,EUR,USD,,7.99,5.99,,,
CAN,orange,Data-10,7,10,changed,price,21.99,26.99,EUR,USD,,26.99,21.99,,,
CAN,orange,Data-10,14,10,changed,price,23.99,28.99,EUR,USD,,28.99,23.99,,,
CAN,orange,Data-100,30,100,changed,price,44.99,53.99,EUR,USD,,53.99,44.99,,50% OFF,50% OFF
CAN,orange,Data-100,45,100,changed,price,91.99,110.99,EUR,USD,,110.99,91.99,,,
CAN,orange,Data-20,14,20,changed,price,30.99,37.99,EUR,USD,,37.99,30.99,,,
CAN,orange,Data-20,30,20,changed,price,15.99,19.99,EUR,USD,,19.99,15.99,,50% OFF,50% OFF
CAN,orange,Data-3,7,3,changed,price,11.99,14.99,EUR,USD,,14.99,11.99,,,
CAN,orange,Data-5,7,5,changed,price,14.99,17.99,EUR,USD,,17.99,14.99,,,
CAN,orange,Data-50,30,50,changed,price,69.99,83.99,EUR,USD,,83.99,69.99,,,
DZA,airalo,Unlimited,3,9,changed,price,18.5,4.5,USD,USD,18.5,4.5,18.5,18.5,,
DZA,airalo,Unlimited,5,15,changed,price,28.5,28.5,USD,USD,28.5,,28.5,28.5,,
DZA,airalo,Unlimited,7,21,changed,price,36.5,9.0,USD,USD,36.5,9.0,36.5,36.5,,
DZA,airalo,Unlimited,10,30,changed,price,42.0,42.0,USD,USD,42.0,,42.0,42.0,,
DZA,airalo,Unlimited,15,45,changed,price,57.0,13.0,USD,USD,57.0,13.0,57.0,57.0,,
