Provider,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
holafly,1680,0,1680,0,,0,
vodafone,837,387,33,417,417.0,0,0.0
orange,548,389,67,92,59.0,0,33.0
airalo,196,56,34,106,106.0,0,0.0
saily,64,27,12,25,25.0,0,0.0
