Provider,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
orange,739,728,0,11,11,0,0
holafly,95,0,0,95,95,0,0
saily,25,0,0,25,25,0,0
airalo,23,6,6,11,11,0,0
